	Cluster	Week	Overload
0	1	1	429
1	1	1	-247
2	1	1	-655
3	1	1	682
4	1	1	-178
5	1	1	-791
6	1	1	262
7	1	1	-46
8	1	1	-358
9	1	1	-1225
10	2	1	-1833
11	2	1	-410
12	2	1	-586
13	2	1	-653
14	2	1	-1059
15	2	1	714
16	2	1	-623
17	2	1	-562
18	2	1	-971
19	2	1	-479
20	3	1	101
21	3	1	-646
22	3	1	-62
23	3	1	-1332
24	3	1	-66
25	3	1	-1226
26	3	1	-942
27	3	1	-695
28	3	1	26
29	3	1	401
30	1	2	469
31	1	2	-215
32	1	2	-820
33	1	2	648
34	1	2	-175
35	1	2	-885
36	1	2	166
37	1	2	-3
38	1	2	-342
39	1	2	-1270
40	2	2	-1830
41	2	2	-405
42	2	2	-626
43	2	2	-605
44	2	2	-875
45	2	2	720
46	2	2	-561
47	2	2	-658
48	2	2	-843
49	2	2	-454
50	3	2	85
51	3	2	-656
52	3	2	170
53	3	2	-1319
54	3	2	-226
55	3	2	-1111
56	3	2	-881
57	3	2	-615
58	3	2	-91
59	3	2	448
60	1	3	359
61	1	3	74
62	1	3	-763
63	1	3	594
64	1	3	-12
65	1	3	-902
66	1	3	83
67	1	3	-124
68	1	3	-532
69	1	3	-1168
70	2	3	-1833
71	2	3	-430
72	2	3	-735
73	2	3	-812
74	2	3	-761
75	2	3	638
76	2	3	-277
77	2	3	-762
78	2	3	-701
79	2	3	-241
80	3	3	178
81	3	3	-940
82	3	3	202
83	3	3	-1078
84	3	3	-523
85	3	3	-1032
86	3	3	-1102
87	3	3	-410
88	3	3	-63
89	3	3	113
90	1	4	112
91	1	4	58
92	1	4	-951
93	1	4	590
94	1	4	132
95	1	4	-912
96	1	4	99
97	1	4	42
98	1	4	-277
99	1	4	-1373
100	2	4	-1637
101	2	4	-141
102	2	4	-792
103	2	4	-655
104	2	4	-1003
105	2	4	674
106	2	4	-621
107	2	4	-523
108	2	4	-861
109	2	4	-14
110	3	4	157
111	3	4	-1285
112	3	4	375
113	3	4	-1303
114	3	4	-497
115	3	4	-1130
116	3	4	-846
117	3	4	-887
118	3	4	-230
119	3	4	19
120	1	5	302
121	1	5	192
122	1	5	-939
123	1	5	393
124	1	5	48
125	1	5	-729
126	1	5	129
127	1	5	-140
128	1	5	-411
129	1	5	-1297
130	2	5	-1625
131	2	5	-261
132	2	5	-582
133	2	5	-691
134	2	5	-1098
135	2	5	572
136	2	5	-424
137	2	5	-528
138	2	5	-855
139	2	5	148
140	3	5	-24
141	3	5	-1278
142	3	5	174
143	3	5	-1049
144	3	5	-297
145	3	5	-1190
146	3	5	-1052
147	3	5	-679
148	3	5	-81
149	3	5	-198
150	1	6	174
151	1	6	-269
152	1	6	-822
153	1	6	458
154	1	6	240
155	1	6	-798
156	1	6	438
157	1	6	34
158	1	6	-87
159	1	6	-1268
160	2	6	-1526
161	2	6	122
162	2	6	-807
163	2	6	-660
164	2	6	-1152
165	2	6	675
166	2	6	-791
167	2	6	-389
168	2	6	-1063
169	2	6	-31
170	3	6	-37
171	3	6	-1242
172	3	6	240
173	3	6	-1187
174	3	6	-477
175	3	6	-1266
176	3	6	-1036
177	3	6	-1034
178	3	6	-239
179	3	6	-90
180	1	7	258
181	1	7	-21
182	1	7	-822
183	1	7	131
184	1	7	42
185	1	7	-693
186	1	7	291
187	1	7	-271
188	1	7	-544
189	1	7	-1278
190	2	7	-1398
191	2	7	-345
192	2	7	-671
193	2	7	-549
194	2	7	-1016
195	2	7	345
196	2	7	-656
197	2	7	-549
198	2	7	-1064
199	2	7	358
200	3	7	-332
201	3	7	-1106
202	3	7	21
203	3	7	-1054
204	3	7	-498
205	3	7	-1124
206	3	7	-1107
207	3	7	-652
208	3	7	136
209	3	7	-552
210	1	8	-315
211	1	8	419
212	1	8	-1165
213	1	8	-93
214	1	8	756
215	1	8	-1136
216	1	8	299
217	1	8	-191
218	1	8	-653
219	1	8	-1256
220	2	8	-1014
221	2	8	-535
222	2	8	-734
223	2	8	-210
224	2	8	-1433
225	2	8	434
226	2	8	-1023
227	2	8	-851
228	2	8	-1073
229	2	8	392
230	3	8	-53
231	3	8	-1266
232	3	8	517
233	3	8	-1079
234	3	8	-705
235	3	8	-680
236	3	8	-658
237	3	8	-340
238	3	8	344
239	3	8	-518
240	1	9	-164
241	1	9	117
242	1	9	-1273
243	1	9	-268
244	1	9	421
245	1	9	-1006
246	1	9	363
247	1	9	-265
248	1	9	-698
249	1	9	-1140
250	2	9	-1445
251	2	9	-600
252	2	9	-435
253	2	9	-661
254	2	9	-1401
255	2	9	542
256	2	9	-876
257	2	9	-882
258	2	9	-1106
259	2	9	156
260	3	9	-88
261	3	9	-1214
262	3	9	11
